no_sample;AtriUndu;BlepTric;BracRefl;BracRuta;CallHald;CalyAzur;CalyFiss;CalyMuel;CalySuec;CephBicu;CephCate;CephLeuc;CephLunu;DicrDenu;DicrMont;DicrScop;HarpScut;HerzSeli;HypnAndo;HypnCupr;HypnPall;ChilPoly;ChilProf;JungLeia;LepiRept;NoweCurv;ParaLong;PlagPore;PlagCurv;PlagDent;PlagLaet;PlagNemo;PlagSucc;PlatRepe;PolyForm;RhizPunc;RiccLati;RiccPalm;SaniUnci;SyzyAutu;TetrPell;TritExse;;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0,1;5;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,1;0;;6
2;0;0,5;0;0;0;0;0;0;0;0;0;0;3;0;10;0,1;0;10;3;0;5;0;0,1;0;0,5;5;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;12
3;0;0;0;0;0;0;0;0;0,5;1;3;0;0;5;0,5;0,1;0;0,1;0,1;0;0,1;0;0,1;0;1;20;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;10;0;;15
4;0;0;0;0;0;0;0;0;0,1;1;1;0;1;20;0,5;0,1;0;0,5;0,1;0;0,1;0;0,1;0;1;1;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;3;0;;15
11;0;0;0;0;0;0;0;0;0;1;0,1;0;0,1;10;0;0;0;3;0,1;0;0;0;0,1;0;2;0,5;0;0;0;0,5;0;0;0;0;0,1;0;0;0;0;0;5;0;;12
12;0;0;0;0;0;0;0;0;0;3;4;0;3;20;0,1;0;0;0,5;0,1;0;0;0;0;0;5;0,5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;;11
15;0;0;0;0;0;0;0;0;0;1;0;0;0;30;0,5;0,5;0;0,1;0,1;0;0;0;0;0;3;0;0;0;0,5;0;0;0;0;0;0,5;0;0,5;0,1;0;0;5;0;;12
18;0;1;0;0;0,1;0,5;0;0;0;5;0;0;1;10;10;0,5;0,1;0,5;0;0;0;0;0,1;0;5;0,5;0;0,1;0,5;0;0;0;0;0;0;0;0;0;0;0;10;0;;16
19;0;0,5;0;0;0;0;0;0;0;1;2;0;2;40;3;1;0;1;0,1;0;0,5;0;0;0;10;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0,1;10;0;;15
21;0,1;1;0;0;0;0;0;0;5;30;10;0;0;15;0,5;0,5;0;1;0;0;0;0;0;0,5;5;1;0;0;0;0,5;0;0;0;0;0;0,5;0,5;0,1;0;0;1;0;;17
22;0,5;0,5;0;0;0;0;0;0;1;0,1;15;0;5;0,5;5;0,5;0,1;0,5;0;0;0,1;0,1;0;0,5;3;0,1;0;0;0,5;0;0;0;0;0;0;0,1;0;0;0;0;3;0;;19
23;0;1;0;0;0;0;0;0;0;0,5;0;0;0,1;1;5;0,5;0;20;0;0;0,5;0;0,5;0;1;0,1;0;0;1;0;0;0;0;0;0;0,1;0;0;0;0;10;0;;14
25;0;1;0;0;0;0;0;0;0,5;3;2;0;2;50;0,5;0,1;0;0,5;0;0;1;0;0,5;0;5;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;5;0;;14
26;0;1;0;0;0;0;0;0;0;0;0,5;0;0;1;5;0,5;0;3;0;0;0;0;0,5;0;3;3;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;5;0;;11
27;0;0,5;0;0;0;0,1;0;0;0;0,5;3;0;2;50;0;0,1;0;0;0;0;0;0;0;0;3;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;10;0;;11
